device: NVIDIA H200
target memory GB: 8.0
matmul_size: 8192
step=1390, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1400, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1410, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1420, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1430, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1440, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1450, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1460, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1470, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1480, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1490, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1500, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1510, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1520, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1530, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1540, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1550, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1560, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1570, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1580, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1590, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1600, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1610, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1620, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1630, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1640, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1650, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1660, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1670, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1680, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1690, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1700, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1710, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1720, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1730, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1740, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1750, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1760, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1770, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1780, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1790, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1800, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1810, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1820, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1830, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1840, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1850, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1860, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1870, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1880, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1890, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1900, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1910, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1920, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1930, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1940, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1950, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1960, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1970, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1980, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=1990, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2000, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2010, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2020, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2030, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2040, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2050, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2060, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2070, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2080, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2090, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2100, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2110, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2120, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2130, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2140, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2150, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2160, value=0.006285, allocated=8.41GB, reserved=8.91GB
