device: NVIDIA H200
target memory GB: 16.0
matmul_size: 16384
inner_iters: 20
step=177, allocated=17.53GB, reserved=17.53GB
step=178, allocated=17.53GB, reserved=17.53GB
step=179, allocated=17.53GB, reserved=17.53GB
step=180, allocated=17.53GB, reserved=17.53GB
step=181, allocated=17.53GB, reserved=17.53GB
step=182, allocated=17.53GB, reserved=17.53GB
step=183, allocated=17.53GB, reserved=17.53GB
step=184, allocated=17.53GB, reserved=17.53GB
step=185, allocated=17.53GB, reserved=17.53GB
step=186, allocated=17.53GB, reserved=17.53GB
step=187, allocated=17.53GB, reserved=17.53GB
step=188, allocated=17.53GB, reserved=17.53GB
step=189, allocated=17.53GB, reserved=17.53GB
step=190, allocated=17.53GB, reserved=17.53GB
step=191, allocated=17.53GB, reserved=17.53GB
step=192, allocated=17.53GB, reserved=17.53GB
step=193, allocated=17.53GB, reserved=17.53GB
step=194, allocated=17.53GB, reserved=17.53GB
step=195, allocated=17.53GB, reserved=17.53GB
step=196, allocated=17.53GB, reserved=17.53GB
step=197, allocated=17.53GB, reserved=17.53GB
step=198, allocated=17.53GB, reserved=17.53GB
step=199, allocated=17.53GB, reserved=17.53GB
step=200, allocated=17.53GB, reserved=17.53GB
step=201, allocated=17.53GB, reserved=17.53GB
step=202, allocated=17.53GB, reserved=17.53GB
step=203, allocated=17.53GB, reserved=17.53GB
step=204, allocated=17.53GB, reserved=17.53GB
step=205, allocated=17.53GB, reserved=17.53GB
step=206, allocated=17.53GB, reserved=17.53GB
step=207, allocated=17.53GB, reserved=17.53GB
step=208, allocated=17.53GB, reserved=17.53GB
step=209, allocated=17.53GB, reserved=17.53GB
step=210, allocated=17.53GB, reserved=17.53GB
step=211, allocated=17.53GB, reserved=17.53GB
step=212, allocated=17.53GB, reserved=17.53GB
step=213, allocated=17.53GB, reserved=17.53GB
step=214, allocated=17.53GB, reserved=17.53GB
step=215, allocated=17.53GB, reserved=17.53GB
step=216, allocated=17.53GB, reserved=17.53GB
step=217, allocated=17.53GB, reserved=17.53GB
step=218, allocated=17.53GB, reserved=17.53GB
step=219, allocated=17.53GB, reserved=17.53GB
step=220, allocated=17.53GB, reserved=17.53GB
step=221, allocated=17.53GB, reserved=17.53GB
step=222, allocated=17.53GB, reserved=17.53GB
step=223, allocated=17.53GB, reserved=17.53GB
step=224, allocated=17.53GB, reserved=17.53GB
step=225, allocated=17.53GB, reserved=17.53GB
step=226, allocated=17.53GB, reserved=17.53GB
step=227, allocated=17.53GB, reserved=17.53GB
step=228, allocated=17.53GB, reserved=17.53GB
step=229, allocated=17.53GB, reserved=17.53GB
step=230, allocated=17.53GB, reserved=17.53GB
step=231, allocated=17.53GB, reserved=17.53GB
step=232, allocated=17.53GB, reserved=17.53GB
step=233, allocated=17.53GB, reserved=17.53GB
step=234, allocated=17.53GB, reserved=17.53GB
step=235, allocated=17.53GB, reserved=17.53GB
step=236, allocated=17.53GB, reserved=17.53GB
step=237, allocated=17.53GB, reserved=17.53GB
step=238, allocated=17.53GB, reserved=17.53GB
step=239, allocated=17.53GB, reserved=17.53GB
step=240, allocated=17.53GB, reserved=17.53GB
step=241, allocated=17.53GB, reserved=17.53GB
step=242, allocated=17.53GB, reserved=17.53GB
step=243, allocated=17.53GB, reserved=17.53GB
step=244, allocated=17.53GB, reserved=17.53GB
step=245, allocated=17.53GB, reserved=17.53GB
step=246, allocated=17.53GB, reserved=17.53GB
step=247, allocated=17.53GB, reserved=17.53GB
step=248, allocated=17.53GB, reserved=17.53GB
step=249, allocated=17.53GB, reserved=17.53GB
step=250, allocated=17.53GB, reserved=17.53GB
step=251, allocated=17.53GB, reserved=17.53GB
step=252, allocated=17.53GB, reserved=17.53GB
step=253, allocated=17.53GB, reserved=17.53GB
step=254, allocated=17.53GB, reserved=17.53GB
step=255, allocated=17.53GB, reserved=17.53GB
step=256, allocated=17.53GB, reserved=17.53GB
step=257, allocated=17.53GB, reserved=17.53GB
step=258, allocated=17.53GB, reserved=17.53GB
step=259, allocated=17.53GB, reserved=17.53GB
step=260, allocated=17.53GB, reserved=17.53GB
step=261, allocated=17.53GB, reserved=17.53GB
step=262, allocated=17.53GB, reserved=17.53GB
step=263, allocated=17.53GB, reserved=17.53GB
step=264, allocated=17.53GB, reserved=17.53GB
step=265, allocated=17.53GB, reserved=17.53GB
step=266, allocated=17.53GB, reserved=17.53GB
step=267, allocated=17.53GB, reserved=17.53GB
step=268, allocated=17.53GB, reserved=17.53GB
step=269, allocated=17.53GB, reserved=17.53GB
step=270, allocated=17.53GB, reserved=17.53GB
step=271, allocated=17.53GB, reserved=17.53GB
step=272, allocated=17.53GB, reserved=17.53GB
step=273, allocated=17.53GB, reserved=17.53GB
step=274, allocated=17.53GB, reserved=17.53GB
step=275, allocated=17.53GB, reserved=17.53GB
step=276, allocated=17.53GB, reserved=17.53GB
step=277, allocated=17.53GB, reserved=17.53GB
step=278, allocated=17.53GB, reserved=17.53GB
step=279, allocated=17.53GB, reserved=17.53GB
step=280, allocated=17.53GB, reserved=17.53GB
step=281, allocated=17.53GB, reserved=17.53GB
step=282, allocated=17.53GB, reserved=17.53GB
step=283, allocated=17.53GB, reserved=17.53GB
step=284, allocated=17.53GB, reserved=17.53GB
step=285, allocated=17.53GB, reserved=17.53GB
step=286, allocated=17.53GB, reserved=17.53GB
step=287, allocated=17.53GB, reserved=17.53GB
step=288, allocated=17.53GB, reserved=17.53GB
step=289, allocated=17.53GB, reserved=17.53GB
step=290, allocated=17.53GB, reserved=17.53GB
step=291, allocated=17.53GB, reserved=17.53GB
step=292, allocated=17.53GB, reserved=17.53GB
step=293, allocated=17.53GB, reserved=17.53GB
step=294, allocated=17.53GB, reserved=17.53GB
step=295, allocated=17.53GB, reserved=17.53GB
step=296, allocated=17.53GB, reserved=17.53GB
step=297, allocated=17.53GB, reserved=17.53GB
step=298, allocated=17.53GB, reserved=17.53GB
step=299, allocated=17.53GB, reserved=17.53GB
step=300, allocated=17.53GB, reserved=17.53GB
step=301, allocated=17.53GB, reserved=17.53GB
step=302, allocated=17.53GB, reserved=17.53GB
step=303, allocated=17.53GB, reserved=17.53GB
step=304, allocated=17.53GB, reserved=17.53GB
step=305, allocated=17.53GB, reserved=17.53GB
step=306, allocated=17.53GB, reserved=17.53GB
step=307, allocated=17.53GB, reserved=17.53GB
step=308, allocated=17.53GB, reserved=17.53GB
step=309, allocated=17.53GB, reserved=17.53GB
step=310, allocated=17.53GB, reserved=17.53GB
step=311, allocated=17.53GB, reserved=17.53GB
step=312, allocated=17.53GB, reserved=17.53GB
step=313, allocated=17.53GB, reserved=17.53GB
step=314, allocated=17.53GB, reserved=17.53GB
step=315, allocated=17.53GB, reserved=17.53GB
step=316, allocated=17.53GB, reserved=17.53GB
step=317, allocated=17.53GB, reserved=17.53GB
step=318, allocated=17.53GB, reserved=17.53GB
step=319, allocated=17.53GB, reserved=17.53GB
step=320, allocated=17.53GB, reserved=17.53GB
step=321, allocated=17.53GB, reserved=17.53GB
step=322, allocated=17.53GB, reserved=17.53GB
step=323, allocated=17.53GB, reserved=17.53GB
step=324, allocated=17.53GB, reserved=17.53GB
step=325, allocated=17.53GB, reserved=17.53GB
step=326, allocated=17.53GB, reserved=17.53GB
step=327, allocated=17.53GB, reserved=17.53GB
step=328, allocated=17.53GB, reserved=17.53GB
step=329, allocated=17.53GB, reserved=17.53GB
step=330, allocated=17.53GB, reserved=17.53GB
step=331, allocated=17.53GB, reserved=17.53GB
step=332, allocated=17.53GB, reserved=17.53GB
step=333, allocated=17.53GB, reserved=17.53GB
step=334, allocated=17.53GB, reserved=17.53GB
step=335, allocated=17.53GB, reserved=17.53GB
step=336, allocated=17.53GB, reserved=17.53GB
step=337, allocated=17.53GB, reserved=17.53GB
step=338, allocated=17.53GB, reserved=17.53GB
step=339, allocated=17.53GB, reserved=17.53GB
step=340, allocated=17.53GB, reserved=17.53GB
step=341, allocated=17.53GB, reserved=17.53GB
step=342, allocated=17.53GB, reserved=17.53GB
step=343, allocated=17.53GB, reserved=17.53GB
step=344, allocated=17.53GB, reserved=17.53GB
step=345, allocated=17.53GB, reserved=17.53GB
step=346, allocated=17.53GB, reserved=17.53GB
step=347, allocated=17.53GB, reserved=17.53GB
step=348, allocated=17.53GB, reserved=17.53GB
step=349, allocated=17.53GB, reserved=17.53GB
step=350, allocated=17.53GB, reserved=17.53GB
step=351, allocated=17.53GB, reserved=17.53GB
step=352, allocated=17.53GB, reserved=17.53GB
